"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
"Energy Transfer Equity, L.P. En",null,18.940001,13.740000,8.680000,7.000000,7.130000,12.430000,12.640000,14.370000,16.590000,17.900000,16.790001,14.930000,17.030001,19.309999,17.950001,18.840000,19.730000,18.660000,17.040001,17.959999,17.670000,17.370001,17.379999,17.690001,17.750000
"Tyson Foods, Inc.",null,50.000000,53.330002,53.360001,64.750000,66.660004,65.820000,63.779999,66.790001,73.599998,75.570000,74.669998,70.849998,56.810001,61.680000,62.790001,62.560001,61.709999,64.260002,57.340000,62.630001,63.360001,63.299999,70.449997,71.470001,72.910004
"American Airlines Group, Inc.",null,41.259998,42.349998,38.990002,41.000000,41.009998,34.689999,31.910000,28.309999,35.500000,36.299999,36.610001,40.599998,46.439999,46.689999,44.250000,46.360001,42.299999,42.619999,48.410000,50.320000,50.439999,44.740002,47.490002,47.250000,46.820000
"Delta Air Lines, Inc.",null,46.459999,50.689999,44.290001,48.240002,48.680000,41.669998,43.459999,36.430000,38.750000,36.750000,39.360001,41.770000,48.180000,49.189999,47.240002,49.930000,45.959999,45.439999,49.130001,53.740002,49.360001,47.189999,48.220001,50.330002,50.029999
Johnson Controls International,null,36.973824,33.392670,36.010471,36.837696,38.439789,40.335079,44.628273,44.607330,47.717278,45.738220,46.529999,40.320000,44.980000,41.189999,43.980000,41.939999,42.119999,41.570000,41.759998,43.360001,38.950001,39.590000,40.290001,42.139999,41.389999
"Best Buy Co., Inc.",null,31.780001,30.450001,27.930000,32.389999,32.439999,32.080002,32.169998,30.600000,33.599998,38.480000,38.180000,38.910000,45.700001,42.669998,44.520000,44.130001,49.150002,51.810001,59.389999,57.330002,58.340000,54.259998,56.959999,55.380001,55.980000
"Merck & Company, Inc.  (new)",null,53.009998,52.820000,50.669998,50.209999,52.910000,54.840000,56.259998,57.610001,58.660000,62.790001,62.410000,58.720001,61.189999,58.869999,61.990002,65.870003,63.540001,62.330002,65.110001,64.089996,63.880001,63.860001,64.029999,54.709999,55.090000
"Goldman Sachs Group, Inc. (The)",null,190.020004,180.229996,161.559998,149.529999,156.979996,164.110001,159.479996,148.580002,158.809998,169.460007,161.270004,178.240005,219.289993,239.449997,229.320007,248.059998,229.720001,223.800003,211.259995,221.899994,225.330002,223.740005,237.190002,240.889999,242.479996
Honeywell International Inc.,null,103.399063,103.020897,102.652863,100.812668,111.455940,113.664169,113.226501,115.703300,115.713249,116.091232,115.971870,109.680000,113.940002,115.849998,118.320000,124.500000,124.870003,131.139999,132.990005,133.289993,136.119995,138.270004,141.740005,144.639999,144.160004
Oracle Corporation,null,38.970001,36.529999,36.310001,36.779999,40.910000,39.860001,40.200001,40.930000,41.040001,41.220001,39.279999,38.419998,40.189999,38.450001,40.110001,42.590000,44.610001,44.959999,45.389999,50.139999,49.930000,50.330002,48.349998,50.680000,50.900002
Morgan Stanley,null,34.299999,31.809999,25.879999,24.700001,25.010000,27.059999,27.370001,25.980000,28.730000,32.060001,32.060001,33.570000,41.360001,42.250000,42.490002,45.669998,42.840000,43.369999,41.740002,44.560001,46.900002,45.500000,48.169998,50.459999,50.000000
Cigna Corporation,null,134.979996,146.330002,133.600006,139.610001,137.240005,138.539993,128.110001,127.989998,128.960007,128.259995,130.320007,118.830002,134.740005,133.389999,146.220001,148.899994,146.490005,156.369995,161.229996,167.389999,173.559998,182.059998,186.940002,197.720001,197.220001
